time, e1, e2, e3, e4, e5, e6, e7, e8, position 
14,61,107,67,105,54,63,27,31,0
14,63,106,69,107,55,62,29,32,0
14,64,108,67,107,56,62,29,33,0
14,67,106,66,104,54,63,27,29,0
14,68,107,66,104,52,61,27,27,0
14,63,108,67,105,48,62,26,28,0
14,61,108,66,101,49,62,26,32,0
14,59,107,67,101,48,63,28,30,0
14,59,106,65,101,49,64,29,30,0
14,57,107,66,102,51,66,28,32,0
14,58,107,67,102,51,66,29,31,0
14,59,107,68,104,50,66,28,28,0
14,60,106,70,101,52,65,27,30,0
14,58,108,71,103,53,66,26,29,0
14,61,108,71,103,50,64,27,27,0
14,64,105,70,103,54,61,30,29,0
14,63,105,69,106,53,62,28,29,0
14,65,106,69,108,51,60,31,26,0
14,65,105,69,107,50,58,30,29,0
14,66,104,69,106,52,58,29,27,0
14,64,106,68,105,50,61,26,25,0
14,63,108,69,105,52,64,25,27,0
14,61,110,69,107,54,68,22,29,0
14,62,110,70,109,55,68,24,29,0
14,61,112,72,109,55,70,24,29,0
14,60,113,72,109,54,69,25,30,0
14,60,110,70,110,51,66,25,29,0
14,62,110,68,107,49,65,26,29,0
14,58,110,66,106,52,62,29,26,0
14,56,108,66,106,52,63,28,29,0
14,60,108,65,107,51,63,29,27,0
14,61,111,67,105,52,63,31,28,0
14,57,109,68,103,52,63,31,28,0
14,61,111,67,104,48,64,28,28,0
14,61,112,68,104,48,61,28,28,0
14,60,111,66,104,51,61,27,30,0
15,61,107,66,104,51,61,26,28,0
15,61,107,66,104,52,59,27,29,0
15,60,104,68,102,54,63,27,30,0
15,62,105,66,101,52,65,29,29,0
15,60,105,67,102,51,64,28,29,0
15,60,106,68,101,50,66,27,29,0
15,63,108,69,104,47,65,26,29,0
15,61,109,70,103,50,64,26,29,0
15,59,109,71,105,50,65,25,30,0
15,59,109,72,107,52,66,24,30,0
15,57,105,71,103,52,66,25,33,0
15,57,108,66,103,52,66,24,31,0
15,60,106,66,105,49,67,24,30,0
15,61,107,66,104,52,64,25,29,0
15,62,108,65,106,50,63,24,30,0
15,62,110,64,110,50,61,27,28,0
15,63,109,68,110,51,65,29,30,0
